ID,Asteroid1.12,Asteroid2.12,Asteroid3.12,Asteroid4.12,Asteroid5.12,Treatment1.12,Treatment2.12,Treatment3.12,Treatment4.12,Treatment5.12,UncontrollableRisk1.18,UncontrollableRisk2.18,UncontrollableRisk3.18,EffortSurvival.18,ImportantSurvive.18,Wealth.12,SSES.12,Age.1,Education.1,CFC.Future.9,CFC.Immediate.9,SoPA.9,SoNA.9,LifeOrientation.10,Sex.1
318,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,30.0,30.0,40.0,50.0,9.0,,5.0,55.0,5,47.0,18.0,5.5,2.142857143,14.0,2.0
319,,,,,,,,,,,,,,,,,,29.0,4,,,,,,1.0
320,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,95.0,42.0,37.0,73.0,9.0,-0.541751371,4.0,59.0,5,37.0,14.0,5.166666667,1.428571429,11.0,1.0
321,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,,,,,,-0.537653286,2.0,55.0,2,,,,,4.0,2.0
322,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,60.0,41.0,81.0,60.0,8.0,0.609737897,8.0,65.0,5,19.0,35.0,6.0,1.142857143,13.5,2.0
323,,,,,,,,,,,,,,,,,,24.0,6,,,,,,2.0
324,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,,4.0,72.0,6,40.0,17.0,4.0,2.142857143,,2.0
325,,,,,,,,,,,,,,,,,,61.0,7,,,,,11.0,1.0
326,,,,,,,,,,,,,,,,,,40.0,5,,,,,8.5,1.0
327,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,,6.0,60.0,2,33.0,22.0,6.166666667,2.571428571,7.0,2.0
328,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,90.0,9.0,19.0,51.0,11.0,-0.941513265,2.0,33.0,5,37.0,18.0,5.5,1.428571429,11.0,2.0
329,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,100.0,85.0,85.0,55.0,11.0,0.237972295,6.0,61.0,4,48.0,21.0,6.833333333,1.142857143,11.5,1.0
330,,,,,,,,,,,,,,,,,,35.0,2,,,,,,2.0
331,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,50.0,25.0,50.0,46.0,10.0,,6.0,51.0,2,35.0,24.0,5.333333333,2.142857143,6.5,2.0
332,,,,,,,,,,,,,,,,,,42.0,2,,,,,7.5,2.0
333,,,,,,,,,,,,,,,,,,49.0,4,,,,,,1.0
334,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,40.0,40.0,65.0,9.0,-0.43796237,5.0,57.0,4,,,,,,2.0
335,,,,,,,,,,,,,,,,,,44.0,6,,,,,,2.0
336,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,19.0,23.0,5.0,14.0,10.0,0.149782689,5.0,40.0,3,,,,,8.5,2.0
337,,,,,,,,,,,,,,,,,,26.0,5,,,,,,2.0
338,,,,,,,,,,,40.0,10.0,10.0,100.0,10.0,,,58.0,6,,,,,,2.0
339,,,,,,,,,,,,,,,,,,69.0,4,,,,,,2.0
340,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,61.0,65.0,49.0,41.0,10.0,-1.289380659,6.0,68.0,6,,,,,,2.0
341,,,,,,,,,,,,,,,,,,35.0,7,,,,,,2.0
